subjectID,yr,lnPubs,gini,rnkCor,p01Pct,mdn01
1,1960,2.8463371,.12556818,,0,
1,1961,2.8698182,.26297086,,.13495277,9
1,1962,2.9057958,.21142004,,.1242236,8
1,1963,2.8260748,.17309929,,.29850745,8.5
1,1964,3.0546131,.24786501,.17227322,.088183418,23
1,1965,3.1209028,.19697192,.073444851,.075700223,47
1,1966,3.2432861,.24201131,,0,
1,1967,3.235276,.21062827,.33689627,.058173358,9
1,1968,3.1956229,.24204814,.29229352,.12746973,15.5
1,1969,3.2711444,.24311568,.11773483,.1606856,12
1,1970,3.2942457,.19791014,.18853775,0,
1,1971,3.3630476,.25217542,.41244525,.17338535,5
1,1972,3.3841741,.25370023,.21842462,0,
1,1973,3.3132343,.25729629,.1404798,.097228974,5.5
1,1974,3.4402792,.24262822,,0,
1,1975,3.4374335,.23306774,.28189263,.073046021,6.5
1,1976,3.4369574,.24387628,,.21937843,5.5
1,1977,3.4556062,.2548508,.39423171,.070052542,7
1,1978,3.5193028,.24702379,.28856272,.1814882,5
1,1979,3.4239008,.24803749,.32014734,.22607385,9.5
1,1980,3.3527613,.26138559,.33590281,.22192632,9
1,1981,3.3326404,.26246578,.20448515,.046490006,3
1,1982,3.370883,.24381268,.48992881,.17028522,5.5
1,1983,3.4480877,.27160791,.60394681,.14255168,2.5
1,1984,3.4460709,.26346901,.24460554,.07160759,12
1,1985,3.4387004,.2600615,,.25491625,10
1,1986,3.4869969,.26648879,.35945895,.065167807,8
1,1987,3.5211382,.24071011,.27968454,.060240965,4.5
1,1988,3.3970706,.26361501,.23811036,.16032064,9
1,1989,3.5678494,.26139909,.27090925,.081146874,7
1,1990,3.7124813,.27874768,.43343663,.0969368,11
1,1991,3.7242758,.25718278,.42084387,.094339624,8
1,1992,3.7327154,.26433644,.48465633,.055514432,7
1,1993,3.7360775,.28182742,.58697528,.073448405,13.5
1,1994,3.6852937,.29249713,.53026193,.08255934,9
1,1995,3.7610252,.29607385,.29105893,.086685158,5
1,1996,3.905148,.29405099,.46536922,.012440906,3
1,1997,3.7527397,.30102381,.36840567,.035341933,6.5
1,1998,3.7901444,.3035937,.42002204,.064850844,4
1,1999,3.7737134,.3062101,.44591621,.084189259,9
1,2000,3.7836177,.31852889,.49189523,.032916393,6.5
1,2001,3.7834034,.30544397,.45706704,.098797955,4.5
1,2002,3.8332746,.30928496,.43750641,.073399879,3
1,2003,3.7608747,.31278107,.45845702,.034686092,6.5
1,2004,3.7633531,.30451456,.37676343,.051733058,4
1,2005,3.7530465,.32213771,.38935056,.017658485,6
1,2006,3.9150302,.34046724,.34850001,.012161012,5
1,2007,3.8267872,.32651401,.7373262,.014900909,6
1,2008,3.8252962,.32777426,.58976454,.044856459,4
1,2009,3.7533531,.31234273,.62475729,.035292041,3.5
1,2010,3.7983744,.32103744,.54011261,0,
1,2011,3.7758288,.3294884,.74301136,.033512063,2.5
1,2012,3.8064513,.31695345,.67860317,.031230481,1
1,2013,3.8603978,.34566188,.73535126,0,
1,2014,3.8211203,.32730591,.74940604,0,
1,2015,3.678154,,,0,
2,1960,2.2787535,.11904762,,0,
2,1961,2.3117537,.10363636,,0,
2,1962,2.3304138,.11086956,,0,
2,1963,2.369216,.055147059,.046353269,0,
2,1964,2.2764618,.12222222,.042307477,0,
2,1965,2.2833011,.13179247,,0,
2,1966,1.8633229,0,.12600373,0,
2,1967,2.5198281,.16651699,,0,
2,1968,2.7234557,.17751853,,0,
2,1969,2.7411516,.21314879,.26553613,0,
2,1970,2.7259116,.16129453,.089816093,0,
2,1971,2.748188,.1738598,,0,
2,1972,2.6919651,.1613792,,0,
2,1973,2.7737865,.148515,.32132977,0,
2,1974,2.8524799,.19212118,,.14044943,29
2,1975,2.6998377,.18999314,.12845483,0,
2,1976,2.7512791,.14265767,,0,
2,1977,2.690196,.20095751,.36947808,0,
2,1978,2.6839471,.20685355,.52173781,0,
2,1979,2.7958801,.22383812,,0,
2,1980,2.833147,.22746006,,0,
2,1981,2.8312297,.2105892,.12772413,0,
